Mel_1,Mel_2,Mel_3,Mel_4,Mel_5,Mel_6,Top_indice_1,Top_indice_2,Top_indice_3,Label
2177236.75,9869288.0,18496430.0,5930448.0,6843152.5,2707064.25,0,97,57,1
3016108.0,10248205.0,10211553.0,5172502.0,4255395.0,1685007.5,51,0,50,1
1861173.25,6286597.0,9510371.0,2750050.5,2912712.75,1464733.25,0,51,96,1
2879251.75,11030966.0,19160074.0,5729543.5,6214501.0,1533941.5,57,0,58,1
3192511.0,11992516.0,17191254.0,5274499.5,7070154.0,2346272.0,0,57,53,1
2432467.75,8958261.0,15682047.0,4899843.5,5658768.5,2489961.0,0,57,58,1
2055410.875,9559742.0,13855556.0,3795391.0,3855647.0,2129675.25,0,90,92,1
3022074.5,12233620.0,16778210.0,4550329.0,7281608.5,2415395.0,0,53,92,1
3869800.5,10083760.0,13719934.0,6696559.5,8061124.0,2278791.25,0,53,55,1
3635175.25,13456983.0,13060058.0,5518023.0,8037946.0,1539905.5,0,51,52,1
2732549.5,10050294.0,15158321.0,5307461.5,4243462.5,1209153.0,0,93,95,1
4942836.0,15619128.0,11661058.0,4309262.0,4841248.5,1911026.75,0,46,55,1
3829465.25,15350815.0,17794034.0,5462153.5,6981853.5,2105062.75,0,92,49,1
3230260.5,12149284.0,15071082.0,4151826.75,4080902.0,1421000.0,0,50,51,1
3289866.0,13209793.0,15675609.0,4205048.5,6058756.5,1226610.5,0,89,92,1
3507346.5,14094845.0,16201598.0,4353678.0,4840558.5,2571598.75,0,48,90,1
2903405.25,11196656.0,18195030.0,5933280.5,6667401.0,2526510.25,0,93,95,1
3438964.25,8181802.0,7007171.0,4715252.5,3571788.0,1202093.375,0,48,41,1
3819549.75,15538719.0,13045627.0,6166304.5,6495177.0,2999438.5,50,0,51,1
4869472.5,14178259.0,10078622.0,7003235.0,5053972.5,1550158.5,0,43,42,1
4815578.0,18085992.0,12147915.0,6642098.5,9038051.0,4314258.0,0,51,44,1
2575582.5,13164793.0,10264292.0,4788844.5,3864553.25,1892493.625,0,51,44,1
2911316.5,8865048.0,9092915.0,3680948.0,2077608.0,1099235.625,0,51,53,1
2204803.25,8358391.0,7841006.5,5017358.0,4289502.0,1327012.25,0,42,41,1
3898892.5,12095318.0,12973773.0,6668659.0,7097626.0,2623712.5,0,44,37,1
3242837.0,12644683.0,12004802.0,4750367.5,4962602.5,2116460.25,0,51,43,1
2120550.0,9059544.0,10364657.0,4280448.5,3125621.25,1267891.0,0,51,97,1
2715447.5,9717846.0,8973144.0,5207749.5,4016851.25,2074203.5,0,44,49,1
4011486.0,11718075.0,12099310.0,4931135.0,5614034.5,2813579.75,0,46,39,1
3209243.25,12149169.0,14678063.0,3774169.25,5471755.0,2734674.75,0,51,49,1
3701382.25,12576235.0,12739498.0,2721936.0,4776321.0,2286328.5,0,51,53,1
5148223.0,12906097.0,12706654.0,6482025.5,6246696.5,2452640.0,0,51,45,1
2782519.25,8817693.0,10568723.0,3315565.0,5101933.5,2266913.25,0,56,94,1
4842279.5,14620079.0,14717759.0,5100031.5,4626615.5,2550012.75,0,45,46,1
3602145.5,9098316.0,5647201.5,4682793.5,4444608.5,1871496.125,0,51,41,1
4388155.5,7899735.5,6049163.0,4750994.5,3342236.0,1413966.25,0,14,35,1
2860357.0,12691908.0,19917868.0,6791191.0,6960420.0,2375315.0,0,59,94,1
2464667.25,7950380.5,9726540.0,3465257.0,3789462.0,1140524.5,0,49,43,1
3466673.0,10029182.0,11533474.0,4597873.5,2997909.75,1008742.0,0,53,49,1
2858442.0,12291139.0,11275721.0,4891326.0,3298881.5,1787110.75,0,41,47,1
4131978.0,12691550.0,10129811.0,6330306.0,7667172.0,2051447.5,0,41,42,1
2589430.0,9439670.0,10970940.0,2659680.0,3045417.5,1147081.5,0,52,55,1
3040800.75,9120309.0,16996512.0,5578014.0,4008885.75,1715289.5,0,58,55,1
2944267.25,6941552.5,10738058.0,4680460.5,3433608.0,1816674.375,0,99,55,1
3269136.25,9103568.0,12389795.0,4788111.5,4400278.0,956066.8125,0,94,93,1
3862067.0,12472248.0,10464480.0,3679978.0,4927508.5,2183576.5,0,57,50,1
