Count,Mel_1,Mel_2,Mel_3,Mel_4,Mel_5,Mel_6,Top_indice_1,Top_indice_2,Top_indice_3
1,2177236.750000, 9869288.000000, 18496430.000000, 5930448.000000, 6843152.500000, 2707064.250000,0,97,57
2,3016108.000000, 10248205.000000, 10211553.000000, 5172502.000000, 4255395.000000, 1685007.500000,51,0,50
3,1861173.250000, 6286597.000000, 9510371.000000, 2750050.500000, 2912712.750000, 1464733.250000,0,51,96
4,2879251.750000, 11030966.000000, 19160074.000000, 5729543.500000, 6214501.000000, 1533941.500000,57,0,58
5,3192511.000000, 11992516.000000, 17191254.000000, 5274499.500000, 7070154.000000, 2346272.000000,0,57,53
6,2432467.750000, 8958261.000000, 15682047.000000, 4899843.500000, 5658768.500000, 2489961.000000,0,57,58
7,2055410.875000, 9559742.000000, 13855556.000000, 3795391.000000, 3855647.000000, 2129675.250000,0,90,92
8,3022074.500000, 12233620.000000, 16778210.000000, 4550329.000000, 7281608.500000, 2415395.000000,0,53,92
9,3869800.500000, 10083760.000000, 13719934.000000, 6696559.500000, 8061124.000000, 2278791.250000,0,53,55
10,3635175.250000, 13456983.000000, 13060058.000000, 5518023.000000, 8037946.000000, 1539905.500000,0,51,52
11,2732549.500000, 10050294.000000, 15158321.000000, 5307461.500000, 4243462.500000, 1209153.000000,0,93,95
12,4942836.000000, 15619128.000000, 11661058.000000, 4309262.000000, 4841248.500000, 1911026.750000,0,46,55
13,3829465.250000, 15350815.000000, 17794034.000000, 5462153.500000, 6981853.500000, 2105062.750000,0,92,49
14,3230260.500000, 12149284.000000, 15071082.000000, 4151826.750000, 4080902.000000, 1421000.000000,0,50,51
15,3289866.000000, 13209793.000000, 15675609.000000, 4205048.500000, 6058756.500000, 1226610.500000,0,89,92
16,3507346.500000, 14094845.000000, 16201598.000000, 4353678.000000, 4840558.500000, 2571598.750000,0,48,90
17,2903405.250000, 11196656.000000, 18195030.000000, 5933280.500000, 6667401.000000, 2526510.250000,0,93,95
18,3438964.250000, 8181802.000000, 7007171.000000, 4715252.500000, 3571788.000000, 1202093.375000,0,48,41
19,3819549.750000, 15538719.000000, 13045627.000000, 6166304.500000, 6495177.000000, 2999438.500000,50,0,51
20,4869472.500000, 14178259.000000, 10078622.000000, 7003235.000000, 5053972.500000, 1550158.500000,0,43,42
21,4815578.000000, 18085992.000000, 12147915.000000, 6642098.500000, 9038051.000000, 4314258.000000,0,51,44
22,2575582.500000, 13164793.000000, 10264292.000000, 4788844.500000, 3864553.250000, 1892493.625000,0,51,44
23,2911316.500000, 8865048.000000, 9092915.000000, 3680948.000000, 2077608.000000, 1099235.625000,0,51,53
24,2204803.250000, 8358391.000000, 7841006.500000, 5017358.000000, 4289502.000000, 1327012.250000,0,42,41
25,3898892.500000, 12095318.000000, 12973773.000000, 6668659.000000, 7097626.000000, 2623712.500000,0,44,37
26,3242837.000000, 12644683.000000, 12004802.000000, 4750367.500000, 4962602.500000, 2116460.250000,0,51,43
27,2120550.000000, 9059544.000000, 10364657.000000, 4280448.500000, 3125621.250000, 1267891.000000,0,51,97
28,2715447.500000, 9717846.000000, 8973144.000000, 5207749.500000, 4016851.250000, 2074203.500000,0,44,49
