Count,Mel_1,Mel_2,Mel_3,Mel_4,Mel_5,Mel_6
1,33540.000000, 52993.191406, 85778.546875, 118815.468750, 165128.609375, 237782.718750
2,23300.003906, 36814.000000, 59589.750000, 82540.250000, 114713.656250, 165185.640625
3,82860.000000, 130918.796875, 211914.437500, 293531.562500, 407947.312500, 587438.125000
4,67880.007812, 107250.382812, 173603.093750, 240464.937500, 334196.250000, 481237.000000
5,50200.003906, 79316.000000, 128386.500000, 177833.500000, 247151.281250, 355894.187500
6,112820.000000, 178255.609375, 288537.156250, 399664.750000, 555450.250000, 799840.750000
7,53840.000000, 85067.187500, 137695.796875, 190728.265625, 265072.218750, 381699.625000
8,41839.988281, 66107.203125, 107005.796875, 148218.203125, 205992.343750, 296625.625000
9,11040.000000, 17443.201172, 28234.800781, 39109.199219, 54353.621094, 78268.390625
10,44880.000000, 70910.367188, 114780.593750, 158987.421875, 220959.156250, 318177.687500
11,51319.996094, 81085.632812, 131250.906250, 181801.031250, 252665.390625, 363834.093750
12,128160.000000, 202492.750000, 327769.187500, 454006.906250, 630974.312500, 908593.500000
13,33420.000000, 52803.601562, 85471.656250, 118390.351562, 164537.843750, 236931.984375
14,46699.992188, 73786.000000, 119435.250000, 165434.750000, 229919.687500, 331080.656250
15,29260.000000, 46230.816406, 74832.453125, 103653.515625, 144056.718750, 207439.515625
16,19719.994141, 31157.601562, 50433.898438, 69858.109375, 97088.171875, 139805.515625
17,40099.988281, 63358.003906, 102555.750000, 142054.250000, 197425.687500, 284289.875000
18,1560.000000, 2464.801025, 3989.700195, 5526.297852, 7680.401367, 11059.657227
19,52020.000000, 82191.632812, 133041.156250, 184280.781250, 256111.828125, 368797.000000
20,19440.000000, 30715.199219, 49717.796875, 68866.226562, 95709.593750, 137820.312500
21,82479.976562, 130318.398438, 210942.593750, 292185.406250, 406076.718750, 584743.750000
22,54840.000000, 86647.195312, 140253.296875, 194270.750000, 269995.687500, 388789.375000
23,60700.000000, 95906.000000, 155240.250000, 215029.750000, 298846.375000, 430334.125000
24,55480.000000, 87658.367188, 141890.093750, 196537.968750, 273146.781250, 393326.781250
25,99380.007812, 157020.359375, 254164.343750, 352053.687500, 489280.906250, 704557.250000
26,30520.000000, 48221.601562, 78054.898438, 108117.101562, 150260.328125, 216372.265625
27,98559.992188, 155724.734375, 252067.187500, 349148.937500, 485243.750000, 698743.687500
28,115700.000000, 182806.000000, 295902.750000, 409867.250000, 569629.625000, 820258.000000
29,99780.000000, 157652.359375, 255187.343750, 353470.687500, 491250.093750, 707392.687500
30,3079.999756, 4866.397949, 7877.099609, 10910.904297, 15163.867188, 21835.740234
31,67260.000000, 106270.796875, 172017.437500, 238268.546875, 331143.343750, 476841.406250
32,2160.000000, 3412.800537, 5524.200195, 7651.799316, 10634.400391, 15313.368164
33,116880.000000, 184670.406250, 298920.593750, 414047.468750, 575439.187500, 828623.875000
34,99720.000000, 157557.640625, 255033.906250, 353258.062500, 490954.906250, 706967.312500
35,105460.000000, 166626.734375, 269713.937500, 373592.187500, 519214.750000, 747661.875000
36,67460.007812, 106586.796875, 172528.937500, 238977.046875, 332128.125000, 478259.406250
37,105920.000000, 167353.625000, 270890.406250, 375221.468750, 521479.562500, 750922.250000
38,114020.000000, 180151.593750, 291606.156250, 403915.781250, 561358.187500, 808347.500000
39,34140.000000, 53941.191406, 87313.046875, 120940.968750, 168082.609375, 242036.359375
40,79220.023438, 125167.601562, 202605.156250, 280636.843750, 390026.312500, 561632.375000
41,117220.000000, 185207.593750, 299790.156250, 415251.812500, 577113.312500, 831034.500000
42,27720.000000, 43797.597656, 70893.898438, 98198.125000, 136474.812500, 196521.593750
43,135480.000000, 214058.406250, 346490.125000, 479937.906250, 667013.312500, 960488.625000
44,151720.062500, 239717.593750, 388023.875000, 537468.375000, 746968.187500, 1075623.500000
45,46840.003906, 74007.179688, 119793.296875, 165930.703125, 230608.953125, 332073.343750
46,41479.988281, 65538.398438, 106085.093750, 146942.906250, 204219.875000, 294073.406250
47,103380.000000, 163340.375000, 264394.343750, 366223.750000, 508974.125000, 732914.937500
48,114180.000000, 180404.406250, 292015.343750, 404482.718750, 562146.125000, 809481.875000
49,89679.984375, 141694.390625, 229356.593750, 317691.406250, 441524.593750, 635788.375000
50,16040.000000, 25343.199219, 41022.296875, 56821.699219, 78970.273438, 113715.929688
51,124260.000000, 196330.750000, 317794.937500, 440191.187500, 611773.250000, 880944.312500
52,79760.023438, 126020.796875, 203986.187500, 282549.906250, 392685.093750, 565459.500000
53,167020.046875, 263891.562500, 427153.625000, 591668.375000, 822295.187500, 1184092.125000
54,53440.000000, 84435.187500, 136672.796875, 189311.265625, 263102.843750, 378864.187500
55,42739.988281, 67529.203125, 109307.546875, 151406.453125, 210423.328125, 303006.156250
56,46560.000000, 73564.820312, 119077.203125, 164938.796875, 229230.484375, 330088.125000
