Count,Mel_1,Mel_2,Mel_3,Mel_4,Mel_5,Mel_6,Top_indice_1,Top_indice_2,Top_indice_3
1,111667.031250, 106471.679688, 131211.515625, 97624.234375, 79905.359375, 69333.093750,0,1,2
2,5612373.000000, 1591342.875000, 725636.750000, 4802025.000000, 3840023.500000, 434311.531250,0,15,23
3,6838220.000000, 2080172.375000, 780510.187500, 4585468.500000, 4668672.000000, 525440.937500,0,23,15
4,6361842.000000, 1653355.375000, 976922.375000, 3899486.750000, 5163469.500000, 1089443.500000,0,22,15
5,8201523.500000, 1953526.375000, 706270.812500, 4512185.000000, 5420839.500000, 743053.500000,0,15,22
6,8719562.000000, 1919969.750000, 677839.437500, 3781769.250000, 4197054.500000, 721230.750000,0,21,20
7,7394696.500000, 1852705.125000, 1191819.125000, 8120215.500000, 7729574.000000, 1790942.125000,0,21,14
8,7734464.500000, 2380865.250000, 886831.937500, 5893220.500000, 7891067.000000, 1728682.750000,0,21,14
9,9022251.000000, 2220160.250000, 1041706.562500, 6940993.500000, 5954367.500000, 1206596.000000,0,21,14
10,8668172.000000, 2506677.250000, 992382.500000, 6712252.500000, 6153832.500000, 1088434.750000,0,21,20
11,8189976.000000, 3545691.000000, 1827298.625000, 6842328.000000, 8314003.500000, 2569479.750000,0,22,15
12,9813012.000000, 3692223.000000, 2080217.375000, 10535646.000000, 8805184.000000, 2442128.250000,0,22,15
13,7177310.000000, 1953241.250000, 909245.500000, 6319568.500000, 6838087.000000, 1730841.875000,0,21,14
14,8801420.000000, 3084772.000000, 1185183.875000, 7580644.500000, 10955389.000000, 2339920.250000,0,22,15
15,9011144.000000, 3068792.000000, 1203372.375000, 8988154.000000, 8804137.000000, 1932657.875000,0,21,14
16,7673521.000000, 2906403.500000, 840740.937500, 6726132.000000, 6247883.000000, 1072792.250000,0,21,14
17,6630517.500000, 2148630.500000, 1077037.000000, 7173503.000000, 7501991.500000, 1321547.250000,0,21,14
18,7869190.000000, 3593283.500000, 1075252.000000, 5896394.000000, 9098453.000000, 2263075.750000,0,15,29
19,5302618.500000, 1351458.500000, 670403.375000, 4890513.500000, 7241330.000000, 1416504.250000,0,15,22
20,5731946.500000, 1446041.375000, 606514.000000, 3790073.250000, 6154558.000000, 1543709.375000,0,23,15
21,5569070.500000, 1909307.250000, 990740.125000, 4767600.500000, 6721037.000000, 1216234.500000,0,15,22
22,5896413.000000, 1547778.000000, 960550.125000, 6160175.000000, 6219752.500000, 1558365.375000,0,15,23
23,6957061.000000, 2644049.750000, 1179234.375000, 4663229.500000, 8330070.000000, 2780046.000000,0,15,22
24,2804630.250000, 1074534.625000, 542927.125000, 4456330.500000, 3824468.750000, 1800823.000000,0,15,23
25,5142512.000000, 1834164.375000, 778534.250000, 6044720.000000, 5841415.500000, 1161496.000000,0,15,22
26,5242903.500000, 1634040.750000, 812142.375000, 4709682.000000, 4091756.500000, 2282209.500000,0,23,15
27,6110674.500000, 1903051.500000, 743655.250000, 5308947.000000, 6458254.500000, 2881544.750000,0,23,15
28,4882814.500000, 1834341.000000, 1053979.125000, 4961880.000000, 5256248.000000, 1246396.625000,0,22,15
29,6054074.500000, 1943828.500000, 661963.500000, 5027556.500000, 3739383.250000, 1790646.250000,0,23,15
30,4769997.500000, 1879360.000000, 624626.937500, 3323936.750000, 7549405.500000, 3235147.750000,0,15,30
31,4784106.000000, 1661231.875000, 753285.437500, 4725951.000000, 6988614.000000, 1838874.250000,0,15,22
32,5462975.500000, 2100018.000000, 932370.687500, 6110808.500000, 6302289.500000, 2798506.000000,0,23,15
33,4252587.500000, 1423071.000000, 773134.125000, 6306986.500000, 3808430.000000, 1626497.000000,0,149,22
34,417332.500000, 284924.218750, 242194.687500, 204206.609375, 179524.000000, 197947.296875,0,1,2
35,7297999.000000, 3963445.500000, 1207818.875000, 5077315.500000, 7492894.500000, 2043000.500000,24,0,25
36,7103725.000000, 2973527.250000, 1007949.125000, 5665169.000000, 5747914.000000, 3380820.750000,0,25,26
37,7158637.000000, 2965168.500000, 1091866.750000, 5167822.000000, 4484301.000000, 2786001.750000,0,25,26
38,5979156.000000, 1473554.125000, 696482.937500, 4335957.500000, 3673818.250000, 1973280.875000,0,16,24
39,7791703.000000, 2079285.000000, 1890849.000000, 6607560.500000, 2289309.250000, 1061775.250000,0,23,21
40,5831277.000000, 1264377.125000, 1400039.375000, 6970042.000000, 5139433.000000, 1387490.375000,0,23,15
41,8957314.000000, 2917820.000000, 3869464.250000, 9164127.000000, 2550349.500000, 1264751.875000,0,23,24
42,7922426.000000, 2057410.250000, 1569262.125000, 5965827.000000, 3389877.000000, 1845357.750000,0,24,23
43,12412255.000000, 5837393.000000, 2783266.000000, 7146549.000000, 3685649.000000, 2200131.750000,25,0,26
44,11259731.000000, 4660366.000000, 2216871.250000, 8133194.000000, 4632213.000000, 2454008.750000,0,25,24
45,9237783.000000, 2783998.500000, 1586300.625000, 7370927.500000, 4061344.500000, 2079268.000000,0,24,23
46,6463239.500000, 2234808.000000, 1590602.000000, 7979761.500000, 5823648.000000, 2645154.000000,0,23,24
47,6383024.500000, 2502972.500000, 2020184.750000, 6079092.000000, 2889647.500000, 1662841.000000,0,22,21
48,6410806.000000, 2204171.500000, 1299791.750000, 6723805.000000, 4209837.000000, 1548604.000000,0,23,15
49,6167908.500000, 2750073.750000, 1075505.375000, 7147384.000000, 4203809.000000, 2088427.500000,0,24,23
50,5846498.500000, 2095411.625000, 1903276.125000, 6826401.000000, 3845939.250000, 793148.500000,0,23,15
51,9689696.000000, 2980680.500000, 1694726.875000, 6893950.000000, 2941403.000000, 1019931.625000,0,23,24
52,8290821.000000, 3238526.750000, 2103547.500000, 7850319.000000, 6384115.500000, 933785.625000,0,23,15
53,7483725.500000, 2939617.250000, 1685820.375000, 7063963.500000, 4728914.500000, 959674.312500,0,28,29
54,6632146.500000, 2531209.250000, 2098751.000000, 7213174.000000, 3437441.750000, 2158057.750000,0,15,22
55,7281071.000000, 2908991.750000, 1811303.000000, 6669117.000000, 4365952.500000, 1817802.375000,0,23,15
56,7674625.500000, 2969061.250000, 1767043.750000, 6031986.000000, 4225106.500000, 1600502.625000,0,23,24
57,6645456.500000, 2549431.500000, 1642921.500000, 7493254.000000, 5401932.000000, 1252053.875000,0,23,15
58,6315130.500000, 2742920.750000, 1360860.000000, 5858803.000000, 3130471.250000, 1770588.750000,0,15,28
59,6900376.500000, 2921977.750000, 1569070.500000, 5235515.500000, 2533524.250000, 1061147.125000,0,15,30
60,6927774.000000, 2703112.000000, 1200769.875000, 4878404.500000, 4361665.500000, 2087885.500000,0,24,16
61,5592908.000000, 2213334.750000, 1194270.750000, 5198324.000000, 5090287.000000, 982544.125000,0,23,15
62,6091393.000000, 2479940.000000, 1297146.375000, 7604186.000000, 5386277.000000, 2566996.500000,0,15,30
63,5652899.500000, 2243236.000000, 1119748.250000, 7402878.000000, 7020791.000000, 1372581.250000,0,15,29
64,5990835.500000, 2478072.500000, 977893.187500, 4849900.500000, 3461683.750000, 1608908.500000,0,15,29
65,5261949.500000, 2495801.750000, 952810.687500, 5100120.500000, 3283290.000000, 1731147.375000,0,24,23
66,6995172.000000, 1613934.125000, 1360986.750000, 6905720.000000, 3709523.000000, 1548555.500000,0,15,23
67,6604467.500000, 2301595.250000, 2011647.875000, 5525604.000000, 3579065.500000, 1005956.000000,0,15,22
68,6224545.500000, 1881747.125000, 2055075.375000, 5898578.500000, 3134458.750000, 1264977.875000,0,22,15
69,5067438.000000, 1763730.125000, 1431306.375000, 7006154.500000, 5937924.000000, 1989523.250000,0,15,22
70,5034463.000000, 2275248.750000, 1703609.500000, 4063574.250000, 2632299.000000, 1504258.000000,0,22,15
71,5569237.500000, 2842592.750000, 1490063.250000, 6350729.500000, 6491337.500000, 2906526.750000,0,29,28
