Mel_1,Mel_2,Mel_3,Mel_4,Mel_5,Mel_6
32180.000000, 50844.402344, 82300.343750, 113997.648438, 158432.671875, 228140.953125
37860.000000, 59818.804688, 96826.953125, 134119.015625, 186397.406250, 268409.531250
49600.003906, 78368.000000, 126852.000000, 175708.000000, 244197.281250, 351640.187500
192160.015625, 303612.687500, 491449.187500, 680726.812500, 946067.812500, 1362322.625000
151840.062500, 239907.218750, 388330.812500, 537893.062500, 747558.687500, 1076473.000000
15160.000000, 23952.800781, 38771.699219, 53704.300781, 74637.726562, 107477.179688
59360.000000, 93788.796875, 151813.203125, 210282.781250, 292249.156250, 420834.218750
120800.000000, 190864.000000, 308946.000000, 427934.000000, 594738.687500, 856414.875000
72420.000000, 114423.609375, 185214.156250, 256547.828125, 356547.812500, 513423.375000
250460.000000, 395726.812500, 640551.500000, 887254.562500, 1233099.875000, 1775642.000000
30000.000000, 47400.000000, 76725.000000, 106275.000000, 147700.000000, 212685.625000
7760.000000, 12260.797852, 19846.199219, 27489.808594, 38205.070312, 55014.730469
14320.000000, 22625.591797, 36623.398438, 50728.617188, 70502.148438, 101521.984375
56760.000000, 89680.804688, 145163.703125, 201072.265625, 279448.437500, 402401.468750
45840.000000, 72427.187500, 117235.796875, 162388.203125, 225685.515625, 324983.875000
22059.996094, 34854.816406, 56418.453125, 78147.546875, 108608.726562, 156395.203125
146380.046875, 231280.406250, 374366.875000, 518551.156250, 720677.812500, 1037764.125000
221760.000000, 350380.781250, 567151.187500, 785585.000000, 1091798.500000, 1572172.750000
46960.003906, 74196.820312, 120100.203125, 166355.796875, 231199.734375, 332924.125000
41820.000000, 66075.609375, 106954.656250, 148147.343750, 205893.843750, 296483.906250
18579.992188, 29356.404297, 47518.351562, 65819.648438, 91475.468750, 131723.296875
2200.000488, 3476.000000, 5626.500000, 7793.500000, 10831.333008, 15596.955078
20480.005859, 32358.400391, 52377.601562, 72550.398438, 100829.820312, 145193.437500
118160.000000, 186692.734375, 302194.187500, 418581.937500, 581741.125000, 837698.000000
14300.000000, 22594.000000, 36572.250000, 50657.750000, 70403.664062, 101380.109375
48220.003906, 76187.632812, 123322.656250, 170819.281250, 237403.125000, 341856.968750
44380.007812, 70120.367188, 113501.843750, 157216.156250, 218497.546875, 314633.000000
3740.000000, 5909.200195, 9565.049805, 13248.951172, 18413.287109, 26514.818359
16779.998047, 26512.406250, 42914.851562, 59443.140625, 82613.437500, 118962.218750
55660.000000, 87942.804688, 142350.453125, 197175.500000, 274032.718750, 394602.906250
33940.003906, 53625.191406, 86801.546875, 120232.468750, 167098.125000, 240618.500000
199440.000000, 315115.281250, 510067.812500, 706516.125000, 981909.812500, 1413934.625000
16800.000000, 26544.000000, 42966.000000, 59514.000000, 82712.000000, 119104.000000
53460.000000, 84466.812500, 136723.953125, 189381.984375, 263201.343750, 379005.968750
94820.007812, 149815.640625, 242502.156250, 335899.843750, 466830.468750, 672228.500000
18420.000000, 29103.597656, 47109.148438, 65252.851562, 90687.796875, 130589.070312
172380.000000, 272360.500000, 440861.875000, 610656.125000, 848684.375000, 1222091.250000
48679.996094, 76914.367188, 124499.093750, 172448.968750, 239667.875000, 345118.250000
130840.000000, 206727.250000, 334623.312500, 463500.593750, 644168.937500, 927592.937500
13940.000000, 22025.201172, 35651.550781, 49382.437500, 68631.265625, 98827.968750
67820.007812, 107155.617188, 173449.656250, 240252.312500, 333900.468750, 480811.343750
5600.000977, 8848.000000, 14322.000000, 19838.000000, 27570.666016, 39701.328125
5940.000000, 9385.204102, 15191.550781, 21042.443359, 29244.605469, 42111.781250
154620.000000, 244299.593750, 395440.625000, 547741.562500, 761245.750000, 1096181.875000
49480.003906, 78178.367188, 126545.093750, 175282.968750, 243606.593750, 350789.812500
27980.000000, 44208.402344, 71558.851562, 99119.125000, 137754.843750, 198364.875000
