Mel_1,Mel_2,Mel_3,Mel_4,Mel_5,Mel_6
29120.000000, 46009.601562, 74474.398438, 103157.617188, 143367.406250, 206446.875000
18900.000000, 29862.000000, 48336.750000, 66953.250000, 93051.000000, 133992.000000
12079.999023, 19086.408203, 30894.601562, 42793.382812, 59473.855469, 85641.570312
163260.000000, 257950.796875, 417537.437500, 578348.562500, 803783.312500, 1157436.000000
78099.968750, 123398.007812, 199740.750000, 276669.250000, 384512.406250, 553691.500000
64460.000000, 101846.796875, 164856.437500, 228349.546875, 317358.093750, 456990.625000
70280.015625, 111042.382812, 179741.093750, 248966.921875, 346012.218750, 498251.781250
82200.000000, 129876.000000, 210226.500000, 291193.500000, 404698.000000, 582758.625000
80379.976562, 127000.406250, 205571.843750, 284746.156250, 395737.687500, 569855.750000
2800.000488, 4424.000000, 7161.000000, 9919.000000, 13785.333008, 19850.664062
73860.000000, 116698.796875, 188896.937500, 261649.046875, 363637.406250, 523632.062500
48340.003906, 76377.171875, 123629.546875, 171244.453125, 237993.953125, 342707.343750
26560.000000, 41964.816406, 67927.203125, 94088.765625, 130763.695312, 188297.734375
21200.005859, 33496.000000, 54219.000000, 75101.000000, 104374.664062, 150297.578125
47779.996094, 75492.367188, 122197.343750, 169260.718750, 235236.875000, 338737.437500
107900.000000, 170482.000000, 275954.250000, 382235.750000, 531227.625000, 764959.000000
30020.000000, 47431.601562, 76776.148438, 106345.859375, 147798.437500, 212827.375000
15880.000000, 25090.408203, 40613.101562, 56254.886719, 78182.414062, 112581.671875
88359.984375, 139608.734375, 225980.687500, 313015.312500, 435025.750000, 626430.125000
47719.996094, 75397.632812, 122043.906250, 169048.031250, 234941.421875, 338312.156250
66560.000000, 105164.796875, 170227.187500, 235788.796875, 327697.125000, 471878.593750
41100.000000, 64938.000000, 105113.250000, 145596.750000, 202349.000000, 291379.312500
18620.007812, 29419.597656, 47620.648438, 65961.351562, 91672.531250, 132006.953125
7340.000000, 11597.204102, 18772.050781, 26001.941406, 36137.218750, 52037.136719
194419.984375, 307183.468750, 497229.125000, 688733.125000, 957194.500000, 1378345.125000
79800.000000, 126084.000000, 204088.500000, 282691.500000, 392882.000000, 565744.000000
29620.000000, 46799.601562, 75753.148438, 104928.859375, 145829.281250, 209991.812500
6060.000000, 9574.795898, 15498.449219, 21467.558594, 29835.394531, 42962.515625
31440.000000, 49675.187500, 80407.796875, 111376.234375, 154789.546875, 222894.765625
211580.000000, 334296.531250, 541115.875000, 749521.875000, 1041678.562500, 1500000.250000
108060.000000, 170734.734375, 276363.437500, 382802.687500, 532015.187500, 766094.250000
49500.000000, 78210.000000, 126596.250000, 175353.750000, 243705.000000, 350931.437500
